CurveType;KeyGen required;MessageNumber;GenNumber;Commitment time;Proof time;Verifiy time;Update commit;Update proof
SS512;0,534731865;100;0,0016608;0,010768652;0,011745691;0,0014503;0,000161648;0,000361443
SS1024;1,300306559;100;0,0016608;0,025416613;0,028832912;0,034083366;0,000406742;0,000442743
SS512;19,72410536;500;0,007924795150756836 ;0,057388783;0,05890584;0,001468897;0,000168324;0,000201402
SS1024;43,97886992;500;0,007924795150756836 ;0,126284599;0,126694679;0,036491156;0,000360012;0,000394106
SS512;104,2385006;1000;0,015900850296020508;0,10803628;0,106045008;0,001568556;0,000154495;0,000205994
SS1024;219,2572279;1000;0,015900850296020508;0,235193729;0,238168478;0,039162832;0,0004251;0,00037384
